name,bus0,bus1,area,carrier,technology,qualifier,aggregation,p_nom,p_nom_extendable,p_nom_min,p_nom_max,efficiency,variable_cost,marginal_cost,fixed_cost,investment_cost,annual_investment_cost,capital_cost,p_min_pu,p_max_pu,p_set,build_year,lifetime
PL battery large charger 2023,PL battery large electricity,PL electricity,PL,battery large charger,battery large charger,,battery large,140.0,True,140.0,140.0,1.1111111111111112,-0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-0.0,,2023,1.0
PL battery large charger new,PL battery large electricity,PL electricity,PL,battery large charger,battery large charger,,battery large,0.0,True,0.0,inf,1.1111111111111112,-0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-0.0,,2023,20.0
PL battery large power 2023,PL electricity,PL battery large electricity,PL,battery large power,battery large power,,battery large,150.0,True,150.0,150.0,1.0,-13.0,-13.0,3400.0,0.0,0.0,3400.0,-1.0,-0.0,,2023,1.0
PL battery large power new,PL electricity,PL battery large electricity,PL,battery large power,battery large power,,battery large,0.0,True,0.0,inf,1.0,-13.0,-13.0,3400.0,1700000.0,114266.70291466045,117666.70291466045,-1.0,-0.0,,2023,20.0
PL biogas CHP industrial 2023,PL electricity,PL biogas,PL,biogas CHP,biogas CHP,industrial,biomass and biogas CHP,70.0,False,70.0,70.0,2.4390243902439024,-47.0,-47.0,62000.0,0.0,0.0,62000.0,-1.0,-0.0,0.0,2023,1.0
PL biogas CHP public 2023,PL electricity,PL biogas,PL,biogas CHP,biogas CHP,public,biomass and biogas CHP,210.0,False,210.0,210.0,2.4390243902439024,-47.0,-47.0,62000.0,0.0,0.0,62000.0,-1.0,-0.0,0.0,2023,1.0
PL biogas production industrial 2023,PL biogas,PL biogas substrate,PL,biogas production,biogas production,industrial,biomass and biogas supply,180.0,False,180.0,180.0,1.1111111111111112,-2.1,-2.1,350000.0,0.0,0.0,350000.0,-1.0,-0.0,0.0,2023,1.0
PL biogas production public 2023,PL biogas,PL biogas substrate,PL,biogas production,biogas production,public,biomass and biogas supply,520.0,False,520.0,520.0,1.1111111111111112,-2.1,-2.1,350000.0,0.0,0.0,350000.0,-1.0,-0.0,,2023,1.0
PL biomass wood CHP industrial 2023,PL electricity,PL biomass wood,PL,biomass wood CHP,biomass wood CHP,industrial,biomass and biogas CHP,200.0,False,200.0,200.0,3.846153846153846,-28.0,-28.0,940000.0,0.0,0.0,940000.0,-1.0,-0.0,0.0,2023,1.0
PL biomass wood CHP public 2023,PL electricity,PL biomass wood,PL,biomass wood CHP,biomass wood CHP,public,biomass and biogas CHP,260.0,False,260.0,260.0,3.846153846153846,-28.0,-28.0,940000.0,0.0,0.0,940000.0,-1.0,-0.0,0.0,2023,1.0
PL biomass wood power public 2023,PL electricity,PL biomass wood,PL,biomass wood power,biomass wood power,public,biomass power,400.0,False,400.0,400.0,3.125,-28.0,-28.0,600000.0,0.0,0.0,600000.0,-1.0,-0.25,,2023,1.0
