,PL battery large electricity,PL biogas,PL biogas substrate,PL biomass wood,PL hard coal,PL hydro PSH electricity,PL lignite,PL natural gas,PL other fuel,PL electricity
614,570.636601848113,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364089266011,185.9999999997808,285.9999999996712,211.60000000021915,583.6363531962406
615,570.6365965445867,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364092789553,185.9999999997808,285.9999999996712,211.60000000021915,583.6363607984989
616,570.6365869877628,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364094925922,185.9999999997808,285.9999999996712,211.60000000021915,583.6363667241991
617,570.6365723185129,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364094716984,185.9999999997808,285.9999999996712,211.60000000021915,583.636370796899
618,570.63655100635,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364091548658,185.9999999997808,285.9999999996712,211.60000000021915,583.6363669812447
619,570.6365206066861,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364086007407,185.9999999997808,285.9999999996712,211.60000000021915,583.6363648747216
620,570.6364745893956,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364078304888,185.9999999997808,285.9999999996712,211.60000000021915,583.6363612367066
621,570.6363873436854,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364068859757,185.9999999997808,285.9999999996712,211.60000000021915,583.6363456849186
622,505.45660615915506,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364058989291,185.9999999997808,285.9999999996712,211.60000000021915,484.99998667507214
623,446.1619550405157,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.63640491658,185.9999999997808,285.9999999996712,211.60000000021915,401.54576524416586
624,446.16184151903406,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364039831178,185.9999999997808,285.9999999996712,211.60000000021915,401.54573806857013
625,446.1617813088444,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364031007544,185.9999999997808,285.9999999996712,211.60000000021915,401.5455164190329
626,446.16176134065455,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.636402437669,185.9999999997808,285.9999999996712,211.60000000021915,401.5455044528621
627,446.1617619335341,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364020570455,185.9999999997808,285.9999999996712,211.60000000021915,401.54551123138873
628,446.16178133264606,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364019054753,185.9999999997808,285.9999999996712,211.60000000021915,401.54550725335963
629,446.1618408957412,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364020285021,185.9999999997808,285.9999999996712,211.60000000021915,401.5455131976847
630,505.79845241128055,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364023681926,185.9999999997808,285.9999999996712,211.60000000021915,485.00001826725764
631,570.6363174471932,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364027061067,185.9999999997808,285.9999999996712,211.60000000021915,583.6363548808381
632,570.6363715762645,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364029107266,185.9999999997808,285.9999999996712,211.60000000021915,583.6363556907397
633,570.6363954178033,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364029796927,185.9999999997808,285.9999999996712,211.60000000021915,583.6363453834434
634,570.6364043484906,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364029740463,185.9999999997808,285.9999999996712,211.60000000021915,583.636300804347
635,570.6364045612617,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364029478311,185.9999999997808,285.9999999996712,211.60000000021915,513.5724235347625
636,570.6364333222998,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364029204564,185.9999999997808,285.9999999996712,211.60000000021915,583.6361341984551
637,570.6364562558477,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364028688447,185.9999999997808,285.9999999996712,211.60000000021915,583.6363268891507
638,570.636471701539,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364027802449,185.9999999997808,285.9999999996712,211.60000000021915,583.6363470699605
639,570.6364808869455,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364026259919,185.9999999997808,285.9999999996712,211.60000000021915,583.6363587989428
640,570.6364840455363,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364023362221,185.9999999997808,285.9999999996712,211.60000000021915,583.6363640769828
641,570.6364806546857,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364018444195,185.9999999997808,285.9999999996712,211.60000000021915,583.6363660807149
642,570.636470236785,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364011074687,185.9999999997808,285.9999999996712,211.60000000021915,583.6363644027696
643,570.6364512831814,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6364001459239,185.9999999997808,285.9999999996712,211.60000000021915,583.6363639598875
644,570.6364188427534,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6363989519189,185.9999999997808,285.9999999996712,211.60000000021915,583.6363623640666
645,570.6363523273731,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6363975373383,185.9999999997808,285.9999999996712,211.60000000021915,583.6363556075797
646,538.8891376455782,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6363959939844,185.9999999997808,285.9999999996712,211.60000000021915,485.0004392428499
647,538.8888215110999,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6363944505028,185.9999999997808,285.9999999996712,211.60000000021915,484.99998100113424
648,538.888742889858,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6363929094815,185.9999999997808,285.9999999996712,211.60000000021915,484.99994534082293
649,538.8886929114279,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6363913703568,185.9999999997808,285.9999999996712,211.60000000021915,403.0002647022576
650,538.8886875285042,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6363898384615,185.9999999997808,285.9999999996712,211.60000000021915,403.0002866530382
651,538.8887169924942,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6363883145082,185.9999999997808,285.9999999996712,211.60000000021915,484.9998094957371
652,538.8887903002231,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6363867951857,185.9999999997808,285.9999999996712,211.60000000021915,484.9999947219745
653,538.8888979348314,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6363852783644,185.9999999997808,285.9999999996712,211.60000000021915,485.00003171610786
