,PL solar PV ground 2023,PL solar PV ground new,PL solar PV roof 2023,PL wind offshore new,PL wind onshore 2023,PL wind onshore new,PL wind onshore old 2023
568,0.0038967041034268014,0.0038967041034268014,0.002751985181422776,0.04605461416429812,0.4809035834890246,0.4809035834890246,0.4350425678163123
569,0.0,0.0,0.0,0.08210611717903696,0.500180850726838,0.500180850726838,0.453984358669879
570,0.0,0.0,0.0,0.09785350559744878,0.5052353825104523,0.5052353825104523,0.45897291033359994
571,0.0,0.0,0.0,0.09785350559744878,0.500180850726838,0.500180850726838,0.453984358669879
572,0.0,0.0,0.0,0.08582204392003918,0.48700312319545297,0.48700312319545297,0.4410216705714986
573,0.0,0.0,0.0,0.07782151518845462,0.4707131062730199,0.4707131062730199,0.42508255637120274
574,0.0,0.0,0.0,0.05721663089117811,0.447158418186735,0.447158418186735,0.40219900691290383
575,0.0,0.0,0.0,0.07179526837296829,0.41619067104090446,0.41619067104090446,0.37240217457081504
576,0.0,0.0,0.0,0.06296460367413548,0.38808329180688966,0.38808329180688966,0.34563465641936764
577,0.0,0.0,0.0,0.0706033761634324,0.3650153905119985,0.3650153905119985,0.32385885031743084
578,0.0,0.0,0.0,0.06646681595815547,0.373420922649299,0.373420922649299,0.33177371339411577
579,0.0,0.0,0.0,0.053259279162849844,0.35764442077276337,0.35764442077276337,0.31693673125296346
580,0.0,0.0,0.0,0.06705441384194755,0.3396808211147006,0.3396808211147006,0.30013902819234073
581,0.0,0.0,0.0,0.07419240994560142,0.3131024716030482,0.3131024716030482,0.27547038496774334
582,0.0,0.0,0.0,0.08272265556221203,0.2927745074640473,0.2927745074640473,0.25674917614276593
583,0.019491817376296513,0.019491817376296513,0.012412271603119725,0.11362549900363225,0.2701777246734267,0.2701777246734267,0.23608440277831927
584,0.10060451526599036,0.10060451526599036,0.06562300853179952,0.14420601205895534,0.23657294874456164,0.23657294874456164,0.20563124626644613
585,0.17518969335730403,0.17518969335730403,0.11288624708414184,0.13565215767779407,0.21692501360480435,0.21692501360480435,0.1879772117639177
586,0.23625733380891742,0.23625733380891742,0.14420603275290472,0.10697591835528103,0.22348538528543774,0.22348538528543774,0.1938595680153368
587,0.2797165860130011,0.2797165860130011,0.16926491775649144,0.07965109460763779,0.2081606469702562,0.2081606469702562,0.18013768196483293
588,0.27279589880105776,0.27279589880105776,0.1618676686168263,0.07782151518845462,0.19497723046049759,0.19497723046049759,0.16838612698650712
589,0.241190829297193,0.241190829297193,0.1434729425965426,0.08644526087999498,0.19607753822021623,0.19607753822021623,0.16936506849752045
590,0.19585157041874707,0.19585157041874707,0.11433376011275863,0.09721025290715092,0.18285356849672763,0.18285356849672763,0.15762202721152616
591,0.10648192917186435,0.10648192917186435,0.06704083383147445,0.08769503408829689,0.17290655878973618,0.17290655878973618,0.14882084127676778
592,0.004871009767707916,0.004871009767707916,0.0034405437443720656,0.07843026189871889,0.17843574750678168,0.17843574750678168,0.15370974404160845
593,0.0,0.0,0.0,0.06529495947896168,0.17622499368391187,0.17622499368391187,0.15175398944266466
594,0.0,0.0,0.0,0.04825139843351041,0.14848688370384347,0.14848688370384347,0.12732882491921482
595,0.0,0.0,0.0,0.03376872096472843,0.11607012183642902,0.11607012183642902,0.09904613574697951
596,0.0,0.0,0.0,0.023065416716365285,0.08791726307957605,0.08791726307957605,0.07470804307692018
597,0.0,0.0,0.0,0.014281852673724688,0.07206779075643306,0.07206779075643306,0.061096319045372584
598,0.0,0.0,0.0,0.00816245640203594,0.06412047382812551,0.06412047382812551,0.054295197608283385
599,0.0,0.0,0.0,0.011434140914212833,0.053880374985539686,0.053880374985539686,0.04555554244992095
600,0.0,0.0,0.0,0.0035832345557002274,0.045898649269824836,0.045898649269824836,0.0387616447517797
