,PL battery large charger 2023,PL battery large power 2023,PL biogas CHP industrial 2023,PL biogas CHP public 2023,PL biogas production industrial 2023,PL biogas production public 2023,PL biomass wood CHP industrial 2023,PL biomass wood CHP public 2023,PL biomass wood power public 2023,PL hard coal CHP industrial 2023,PL hard coal CHP public 2023,PL hard coal power SC public 2023,PL hard coal power old public 2023,PL hydro PSH power 2023,PL hydro PSH pump 2023,PL lignite power SC public 2023,PL lignite power old public 2023,PL natural gas CHP old industrial 2023,PL natural gas CHP old public 2023,PL other CHP industrial 2023
0,-27.08182905202515,-0.0,-33.6,-180.7344,-86.4,-436.3668292674563,-130.0,-215.62944,-100.00000085943087,-298.7,-2320.91136,-1012.5000005699692,-2825.0000004379217,-0.0,-183.44352096114454,-427.500000709419,-1482.5000005859895,-785.2,-1565.42592,-275.0
1,-27.381985471256737,-0.0,-33.6,-182.49,-86.4,-440.64878048696164,-130.0,-217.724,-100.00000085937374,-298.7,-2343.456,-1012.500000569904,-2825.0000004378758,-0.0,-331.4453985485329,-427.5000007093362,-1482.5000005859147,-785.2,-1580.632,-275.0
2,-26.64711290095681,-0.0,-33.6,-183.6912,-86.4,-443.578536584518,-130.0,-219.15712,-100.0000008593626,-298.7,-2358.88128,-1012.5000005698893,-2825.000000437866,-0.0,-390.91967227622445,-427.5000007093222,-1482.5000005858974,-785.2,-1591.03616,-275.0
3,-25.974119291466824,-0.0,-33.6,-188.6808,-86.4,-455.7482926820595,-130.0,-225.11008,-100.00000085936603,-298.7,-2422.95552,-1012.500000569892,-2825.0000004378694,-0.0,-373.02929556076106,-427.5000007093301,-1482.5000005859008,-785.2,-1634.25344,-275.0
4,-25.81521466970181,-0.0,-33.6,-199.7688,-86.4,-482.79219512104055,-130.0,-238.33888,-100.00000085935447,-298.7,-2565.34272,-1012.5000005698855,-2825.0000004378644,-0.0,-445.1491006546553,-427.50000070931674,-1482.5000005858938,-785.2,-1730.29184,-275.0
5,-26.12869537632847,-0.0,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-100.00000085933695,-298.7,-2945.04192,-1012.5000005698729,-2825.0000004378526,-0.0,-564.159375308021,-427.5000007092966,-1482.5000005858801,-785.2,-1986.39424,-275.0
6,-23.587838397918414,-0.0,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-100.00000085950776,-298.7,-3117.09312,-1012.5000005700779,-2825.0000004379986,-0.0,-145.77281471812563,-427.50000070958424,-1482.5000005861132,-785.2,-2102.44064,-275.0
7,-0.0,-134.59403821114455,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-100.000000894233,-298.7,-3055.392,-1012.5000005854657,-2825.0000004470517,-0.0,-0.0,-427.50000073366584,-1482.5000006024097,-785.2,-2060.824,-275.0
8,-22.045147255395946,-0.0,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-100.00000085966154,-298.7,-3035.22048,-1012.5000005703083,-2825.0000004381436,-0.0,-131.9374043682991,-427.50000070996583,-1482.5000005863747,-785.2,-2047.21856,-275.0
9,-23.998489280710416,-0.0,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-100.00000085943464,-298.7,-2987.75808,-1012.5000005700689,-2825.000000437943,-0.0,-904.8145967002127,-427.50000070949784,-1482.500000586087,-785.2,-2015.20576,-275.0
10,-140.0014,-0.0,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-100.00000085061379,-298.7,-2931.98976,-1012.5000005661329,-2825.0000004355907,-0.0,-1130.0,-427.50000070343754,-1482.500000581905,-785.2,-1977.59072,-275.0
11,-140.0014,-0.0,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-100.00000085063452,-298.7,-2879.78112,-1012.5000005661473,-2825.000000435583,-0.0,-1130.0,-427.50000070348943,-1482.500000581909,-785.2,-1942.37664,-275.0
12,-29.57981431719665,-0.0,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-100.00000085945584,-298.7,-2853.6768,-1012.5000005700992,-2825.0000004379126,-0.0,-986.3406171661654,-427.5000007096249,-1482.5000005860868,-785.2,-1924.7696,-275.0
13,-30.572331253467183,-0.0,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-100.00000086006334,-298.7,-2834.69184,-1012.5000005708462,-2825.0000004383323,-0.0,-79.09861831220576,-427.5000007106698,-1482.5000005869113,-785.2,-1911.96448,-275.0
14,-0.0,-0.0,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-400.0,-298.7,-2845.37088,-1012.5,-2825.0,-0.0,-0.0,-1126.6855236073259,-1482.5,-785.2,-1919.16736,-275.0
15,-0.0,-45.06141437453276,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-400.0,-298.7,-2860.79616,-1012.5,-2825.0,-396.6382300129428,-0.0,-1710.0,-1837.5523299734389,-785.2,-1929.57152,-275.0
16,-0.0,-34.61035350398411,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-400.0,-298.7,-2909.44512,-1012.5,-2825.0,-238.62487234696744,-0.0,-1710.0,-3555.059756485007,-785.2,-1962.38464,-275.0
17,-0.0,-30.921683775656845,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-400.0,-298.7,-2947.41504,-1012.5,-2825.0,-238.85015497857754,-0.0,-1710.0,-5674.995171120496,-785.2,-1987.99488,-275.0
18,-0.0,-32.188181151628555,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-400.0,-298.7,-2955.72096,-1012.5,-2825.0,-1262.4147764927402,-0.0,-1710.0,-5788.052063548633,-785.2,-1993.59712,-275.0
19,-0.0,-23.51006023313612,-33.6,-210.0,-86.4,-507.746341462464,-130.0,-260.0,-400.0,-298.7,-2941.48224,-1012.5,-2825.0,-1484.4888434076342,-0.0,-1710.0,-5809.868540411002,-785.2,-1983.99328,-275.0
