,PL biogas CHP industrial 2023,PL biogas CHP public 2023,PL biogas production industrial 2023,PL biomass wood CHP industrial 2023,PL biomass wood CHP public 2023,PL hard coal CHP industrial 2023,PL hard coal CHP public 2023,PL natural gas CHP old industrial 2023,PL natural gas CHP old public 2023,PL other CHP industrial 2023
39,-33.6,-204.11160000000004,-86.39999999999999,-130.0,-243.52016000000003,-298.7,-2621.1110400000002,-785.2,-1767.90688,-275.0
40,-33.6,-207.80760000000004,-86.39999999999999,-130.0,-247.92976000000004,-298.7,-2668.57344,-785.2,-1799.9196800000002,-275.0
41,-33.6,-210.0,-86.39999999999999,-130.0,-251.12672000000003,-298.7,-2702.9836800000003,-785.2,-1823.12896,-275.0
42,-33.6,-210.0,-86.39999999999999,-130.0,-251.89840000000004,-298.7,-2711.2896,-785.2,-1828.7312,-275.0
43,-33.6,-210.0,-86.39999999999999,-130.0,-251.01648000000003,-298.7,-2701.79712,-785.2,-1822.3286400000002,-275.0
44,-33.6,-207.25320000000005,-86.39999999999999,-130.0,-247.26832000000005,-298.7,-2661.4540800000004,-785.2,-1795.11776,-275.0
45,-33.6,-198.47520000000003,-86.39999999999999,-130.0,-236.79552,-298.7,-2548.73088,-785.2,-1719.08736,-275.0
46,-33.6,-182.76720000000003,-86.39999999999999,-130.0,-218.05472000000003,-298.7,-2347.01568,-785.2,-1583.03296,-275.0
47,-33.6,-168.81480000000002,-86.39999999999999,-130.0,-201.40848000000003,-298.7,-2167.84512,-785.2,-1462.18464,-275.0
48,-33.6,-130.74600000000004,-86.39999999999999,-130.0,-155.98960000000002,-298.7,-1678.9824000000003,-785.2,-1132.4528,-275.0
49,-33.6,-132.59400000000002,-86.39999999999999,-130.0,-158.19440000000003,-298.7,-1702.7136000000003,-785.2,-1148.4592,-275.0
50,-33.6,-133.33320000000003,-86.39999999999999,-130.0,-159.07632000000004,-298.7,-1712.2060800000002,-785.2,-1154.86176,-275.0
51,-33.6,-136.752,-86.39999999999999,-130.0,-163.1552,-298.7,-1756.1088,-785.2,-1184.4735999999998,-275.0
52,-33.6,-145.99200000000002,-86.39999999999999,-130.0,-174.1792,-298.7,-1874.7648000000002,-785.2,-1264.5056,-275.0
53,-33.6,-168.53760000000003,-86.39999999999999,-130.0,-201.07776,-298.7,-2164.28544,-785.2,-1459.78368,-275.0
54,-33.6,-180.18000000000004,-86.39999999999999,-130.0,-214.96800000000002,-298.7,-2313.7920000000004,-785.2,-1560.624,-275.0
55,-33.6,-177.31560000000005,-86.39999999999999,-130.0,-211.55056000000005,-298.7,-2277.0086400000005,-785.2,-1535.81408,-275.0
56,-33.6,-174.54360000000003,-86.39999999999999,-130.0,-208.24336000000002,-298.7,-2241.41184,-785.2,-1511.80448,-275.0
57,-33.6,-170.57040000000003,-86.39999999999999,-130.0,-203.50304000000003,-298.7,-2190.38976,-785.2,-1477.39072,-275.0
58,-33.6,-167.42880000000002,-86.39999999999999,-130.0,-199.75488,-298.7,-2150.0467200000003,-785.2,-1450.17984,-275.0
59,-33.6,-164.47200000000004,-86.39999999999999,-130.0,-196.22720000000004,-298.7,-2112.0768000000003,-785.2,-1424.5696,-275.0
60,-33.6,-162.43920000000003,-86.39999999999999,-130.0,-193.80192000000002,-298.7,-2085.9724800000004,-785.2,-1406.9625600000002,-275.0
61,-33.6,-161.8848,-86.39999999999999,-130.0,-193.14048,-298.7,-2078.85312,-785.2,-1402.1606399999998,-275.0
62,-33.6,-162.25440000000003,-86.39999999999999,-130.0,-193.58144000000001,-298.7,-2083.59936,-785.2,-1405.36192,-275.0
63,-33.6,-163.64040000000003,-86.39999999999999,-130.0,-195.23504000000003,-298.7,-2101.3977600000003,-785.2,-1417.36672,-275.0
64,-33.6,-166.59720000000002,-86.39999999999999,-130.0,-198.76272,-298.7,-2139.36768,-785.2,-1442.97696,-275.0
65,-33.6,-169.18440000000004,-86.39999999999999,-130.0,-201.84944000000004,-298.7,-2172.5913600000003,-785.2,-1465.3859200000002,-275.0
66,-33.6,-170.10840000000005,-86.39999999999999,-130.0,-202.95184000000003,-298.7,-2184.4569600000004,-785.2,-1473.38912,-275.0
67,-33.6,-170.01600000000005,-86.39999999999999,-130.0,-202.84160000000006,-298.7,-2183.2704000000003,-785.2,-1472.5888000000002,-275.0
68,-33.6,-167.8908,-86.39999999999999,-130.0,-200.30608,-298.7,-2155.97952,-785.2,-1454.18144,-275.0
69,-33.6,-160.49880000000005,-86.39999999999999,-130.0,-191.48688000000004,-298.7,-2061.05472,-785.2,-1390.1558400000001,-275.0
70,-33.6,-146.91600000000003,-86.39999999999999,-130.0,-175.28160000000003,-298.7,-1886.6304,-785.2,-1272.5088,-275.0
71,-33.6,-134.99640000000002,-86.39999999999999,-130.0,-161.06064000000003,-298.7,-1733.5641600000001,-785.2,-1169.26752,-275.0
72,-33.6,-125.29440000000001,-86.39999999999999,-130.0,-149.48544,-298.7,-1608.9753600000001,-785.2,-1085.23392,-275.0
73,-33.6,-126.95760000000004,-86.39999999999999,-130.0,-151.46976000000004,-298.7,-1630.3334400000003,-785.2,-1099.6396800000002,-275.0
74,-33.6,-127.8816,-86.39999999999999,-130.0,-152.57216,-298.7,-1642.19904,-785.2,-1107.6428799999999,-275.0
75,-33.6,-131.1156,-86.39999999999999,-130.0,-156.43056,-298.7,-1683.72864,-785.2,-1135.65408,-275.0
76,-33.6,-140.2632,-86.39999999999999,-130.0,-167.34432,-298.7,-1801.19808,-785.2,-1214.88576,-275.0
77,-33.6,-161.70000000000005,-86.39999999999999,-130.0,-192.92000000000004,-298.7,-2076.4800000000005,-785.2,-1400.5600000000002,-275.0
78,-33.6,-172.60320000000004,-86.39999999999999,-130.0,-205.92832000000004,-298.7,-2216.4940800000004,-785.2,-1494.9977600000002,-275.0
79,-33.6,-169.2768,-86.39999999999999,-130.0,-201.95968000000002,-298.7,-2173.77792,-785.2,-1466.18624,-275.0
80,-33.6,-166.22760000000002,-86.39999999999999,-130.0,-198.32176,-298.7,-2134.62144,-785.2,-1439.77568,-275.0
81,-33.6,-162.43920000000003,-86.39999999999999,-130.0,-193.80192000000002,-298.7,-2085.9724800000004,-785.2,-1406.9625600000002,-275.0
82,-33.6,-159.39000000000004,-86.39999999999999,-130.0,-190.16400000000004,-298.7,-2046.8160000000003,-785.2,-1380.5520000000001,-275.0
83,-33.6,-156.61800000000002,-86.39999999999999,-130.0,-186.85680000000002,-298.7,-2011.2192000000002,-785.2,-1356.5424,-275.0
84,-33.6,-154.77000000000004,-86.39999999999999,-130.0,-184.65200000000002,-298.7,-1987.4880000000003,-785.2,-1340.536,-275.0
85,-33.6,-154.03080000000003,-86.39999999999999,-130.0,-183.77008000000004,-298.7,-1977.9955200000002,-785.2,-1334.13344,-275.0
86,-33.6,-154.21560000000002,-86.39999999999999,-130.0,-183.99056000000002,-298.7,-1980.36864,-785.2,-1335.73408,-275.0
87,-33.6,-155.69400000000002,-86.39999999999999,-130.0,-185.75440000000003,-298.7,-1999.3536000000001,-785.2,-1348.5392000000002,-275.0
88,-33.6,-158.928,-86.39999999999999,-130.0,-189.6128,-298.7,-2040.8832,-785.2,-1376.5503999999999,-275.0
89,-33.6,-161.51520000000002,-86.39999999999999,-130.0,-192.69952000000004,-298.7,-2074.1068800000003,-785.2,-1398.95936,-275.0
90,-33.6,-162.99360000000001,-86.39999999999999,-130.0,-194.46336000000002,-298.7,-2093.09184,-785.2,-1411.76448,-275.0
91,-33.6,-162.62400000000002,-86.39999999999999,-130.0,-194.02240000000003,-298.7,-2088.3456,-785.2,-1408.5632,-275.0
92,-33.6,-160.776,-86.39999999999999,-130.0,-191.8176,-298.7,-2064.6144,-785.2,-1392.5567999999998,-275.0
93,-33.6,-154.12320000000003,-86.39999999999999,-130.0,-183.88032,-298.7,-1979.18208,-785.2,-1334.93376,-275.0
94,-33.6,-140.91000000000003,-86.39999999999999,-130.0,-168.116,-298.7,-1809.504,-785.2,-1220.488,-275.0
95,-33.6,-129.5448,-86.39999999999999,-130.0,-154.55648,-298.7,-1663.55712,-785.2,-1122.04864,-275.0
96,-33.6,-135.7356,-86.39999999999999,-130.0,-161.94256000000001,-298.7,-1743.05664,-785.2,-1175.67008,-275.0
97,-33.6,-138.13800000000003,-86.39999999999999,-130.0,-164.80880000000005,-298.7,-1773.9072000000003,-785.2,-1196.4784000000002,-275.0
98,-33.6,-138.78480000000002,-86.39999999999999,-130.0,-165.58048000000002,-298.7,-1782.2131200000001,-785.2,-1202.08064,-275.0
99,-33.6,-142.758,-86.39999999999999,-130.0,-170.32080000000002,-298.7,-1833.2352,-785.2,-1236.4944,-275.0
100,-33.6,-153.10680000000002,-86.39999999999999,-130.0,-182.66768000000002,-298.7,-1966.1299200000003,-785.2,-1326.1302400000002,-275.0
101,-33.6,-176.57640000000004,-86.39999999999999,-130.0,-210.66864000000004,-298.7,-2267.51616,-785.2,-1529.41152,-275.0
102,-33.6,-187.57200000000003,-86.39999999999999,-130.0,-223.78720000000004,-298.7,-2408.7168,-785.2,-1624.6496,-275.0
103,-33.6,-184.33800000000002,-86.39999999999999,-130.0,-219.92880000000002,-298.7,-2367.1872000000003,-785.2,-1596.6384,-275.0
104,-33.6,-181.4736,-86.39999999999999,-130.0,-216.51136,-298.7,-2330.40384,-785.2,-1571.82848,-275.0
105,-33.6,-177.22320000000002,-86.39999999999999,-130.0,-211.44032,-298.7,-2275.82208,-785.2,-1535.01376,-275.0
106,-33.6,-173.61960000000002,-86.39999999999999,-130.0,-207.14096000000004,-298.7,-2229.54624,-785.2,-1503.8012800000001,-275.0
107,-33.6,-170.75520000000003,-86.39999999999999,-130.0,-203.72352000000004,-298.7,-2192.76288,-785.2,-1478.9913600000002,-275.0
108,-33.6,-168.81480000000002,-86.39999999999999,-130.0,-201.40848000000003,-298.7,-2167.84512,-785.2,-1462.18464,-275.0
109,-33.6,-168.07560000000004,-86.39999999999999,-130.0,-200.52656000000002,-298.7,-2158.35264,-785.2,-1455.78208,-275.0
110,-33.6,-168.63000000000002,-86.39999999999999,-130.0,-201.18800000000002,-298.7,-2165.472,-785.2,-1460.5839999999998,-275.0
111,-33.6,-170.01600000000005,-86.39999999999999,-130.0,-202.84160000000006,-298.7,-2183.2704000000003,-785.2,-1472.5888000000002,-275.0
112,-33.6,-172.69560000000004,-86.39999999999999,-130.0,-206.03856000000002,-298.7,-2217.68064,-785.2,-1495.79808,-275.0
113,-33.6,-176.20680000000002,-86.39999999999999,-130.0,-210.22768000000002,-298.7,-2262.76992,-785.2,-1526.21024,-275.0
114,-33.6,-177.03840000000002,-86.39999999999999,-130.0,-211.21984,-298.7,-2273.44896,-785.2,-1533.41312,-275.0
115,-33.6,-177.40800000000002,-86.39999999999999,-130.0,-211.66080000000002,-298.7,-2278.1952,-785.2,-1536.6144,-275.0
116,-33.6,-174.91320000000002,-86.39999999999999,-130.0,-208.68432,-298.7,-2246.15808,-785.2,-1515.00576,-275.0
117,-33.6,-167.52120000000002,-86.39999999999999,-130.0,-199.86512,-298.7,-2151.23328,-785.2,-1450.9801599999998,-275.0
118,-33.6,-153.19920000000002,-86.39999999999999,-130.0,-182.77792000000002,-298.7,-1967.3164800000002,-785.2,-1326.93056,-275.0
119,-33.6,-140.2632,-86.39999999999999,-130.0,-167.34432,-298.7,-1801.19808,-785.2,-1214.88576,-275.0
120,-33.6,-115.96200000000002,-86.39999999999999,-130.0,-138.3512,-298.7,-1489.1328,-785.2,-1004.4016,-275.0
121,-33.6,-118.3644,-86.39999999999999,-130.0,-141.21744,-298.7,-1519.98336,-785.2,-1025.20992,-275.0
