,PL biogas substrate supply 2023,PL biomass wood supply 2023,PL electricity final use 2023,PL hard coal supply 2023,PL hydro ROR 2023,PL lignite supply 2023,PL natural gas supply 2023,PL other fuel supply 2023,PL solar PV ground 2023,PL solar PV ground new,PL solar PV roof 2023,PL wind onshore 2023,PL wind onshore new,PL wind onshore old 2023
0,580.8520325188151,1641.844002684392,16821.5182648,20617.521522328512,276.0,5561.174245969023,4897.137333325498,808.82352941225,-0.0,-0.0,-0.0,1212.3178976499998,3440.41702555,532.2353537645599
1,585.6097560960385,1649.9000026842057,16240.2511416,20701.020188994808,276.0,5561.174245968588,4928.816666658781,808.82352941225,-0.0,-0.0,-0.0,1174.0983362299999,3331.95436072,267.8143377366441
2,588.8650406488756,1655.4120026841651,16028.8812785,20758.15085566135,276.0,5561.174245968502,4950.49199999208,808.82352941225,-0.0,-0.0,-0.0,1138.9452034199999,3232.19386318,247.0410681237382
3,602.3869918683527,1678.3080026841533,16011.2671233,20995.46285566113,276.0,5561.174245968532,5040.527999991936,808.82352941225,-0.0,-0.0,-0.0,1097.2544145499996,3113.88025903,244.89177422914835
4,632.4357723560794,1729.1880026840659,16240.2511416,21522.822855660575,276.0,5561.174245968477,5240.6079999916155,808.82352941225,-0.0,-0.0,-0.0,1119.72297858,3177.64342743,227.75339245448077
5,660.1626016242999,1812.500002683928,16786.2899543,22929.116188992437,276.0,5561.174245968386,5774.154666657429,808.82352941225,-0.0,-0.0,-0.0,1138.9452034199999,3232.19386318,202.68861459678888
6,660.1626016242999,1812.5000026844618,18389.1780822,23566.342855659383,276.0,5561.174245969811,6015.9179999903745,808.82352941225,24.8612207896,6.08962149024,22.0191617772,1126.1341350000002,3195.83754279,913.1582854006825
7,660.1626016242999,1812.5000027929782,20379.5776256,23337.820189056165,276.0,5561.1742460793985,5929.216666657181,808.82352941225,641.863225965,157.220923611,791.110662205,954.9720880150003,2710.09958436,1757.50105609
8,660.1626016242999,1812.5000026849423,21154.6004566,23263.110855660663,276.0,5561.174245971557,5900.87199999056,808.82352941225,1753.0691348,429.404797435,2116.17136977,817.4648558630001,2319.8700715,733.1578590940644
9,660.1626016242999,1812.5000026842333,21365.9703196,23087.324188993007,276.0,5561.174245969516,5834.1786666573325,808.82352941225,2499.631354100001,612.271172861,3060.13762799,847.0698409299998,2403.88557178,143.2682389901796
10,660.1626016242999,1812.5000026566681,21295.5136986,22880.774855643598,276.0,5561.174245941693,5755.813999990792,808.82352941225,2976.5356978499995,729.086310987,3628.51004529,488.7517814814423,2216.89194866,0.0
11,660.1626016242999,1812.500002656733,21506.8835616,22687.40952231047,276.0,5561.174245941834,5682.451333324242,808.82352941225,3238.03014464,793.137960591,3882.79022672,518.5830301474907,1906.02700495,0.0
12,660.1626016242999,1812.5000026842995,21471.6552511,22590.72685566015,276.0,5561.174245969833,5645.769999990967,808.82352941225,3199.7279263600003,783.756039505,3823.26500386,540.863507409,1534.90765335,136.61326346091062
13,660.1626016242999,1812.500002686198,21577.3401826,22520.41218899656,276.0,5561.174245974943,5619.092666657677,808.82352941225,2753.7487490400003,674.515853537,3184.55999267,422.28940856300005,1198.40816814,628.129031082123
14,660.1626016242999,2749.9999999985002,21295.5136986,22559.96418634069,276.0,7309.138051438065,5634.098666657653,808.82352941225,2341.0767895347662,573.434090494,2665.61449525,326.6036644555604,926.86317046,582.1977136928477
15,660.1626016242999,2749.9999999985002,20837.5456621,22617.0948530073,276.0,9843.340393853337,5655.773999990951,808.82352941225,1765.6843536607685,432.494827165,1964.63389653,247.45509040124682,702.248733378,439.40909579538675
16,660.1626016242999,2749.9999999985002,20590.9474886,22797.276186340456,276.0,15047.908352974095,5724.134666657508,808.82352941225,954.7127808411971,233.85172916,1058.24784998,254.35725283442844,721.836266643,451.8168559655355
17,660.1626016242999,2749.9999999985002,21207.4429224,22937.905519673648,276.0,21471.955063984304,5777.48933332409,808.82352941225,49.72773446020977,12.1805395822,58.765759901,354.0174111585096,1004.66019107,631.9143454805403
18,660.1626016242999,2749.9999999985002,22528.5045662,22968.668186340285,276.0,21814.55170770559,5789.160666657404,808.82352941225,-0.0,-0.0,-0.0,405.2565475655322,1150.07089367,725.2040127605553
19,660.1626016242999,2749.9999999985002,22739.8744292,22915.932186340335,276.0,21880.662243652096,5769.152666657436,808.82352941225,-0.0,-0.0,-0.0,405.2565475655431,1150.07089367,725.2040127605648
20,660.1626016242999,2749.9999999985002,22000.0799087,22757.724186340492,276.0,21778.10466959941,5709.128666657532,808.82352941225,-0.0,-0.0,-0.0,384.7861929305361,1091.97841088,687.8770354795604
21,660.1626016242999,2740.8879999985093,20714.2465753,22291.889519674292,276.0,21280.58899143732,5532.391333324482,808.82352941225,-0.0,-0.0,-0.0,357.43991282649483,1014.37285227,638.1307761665346
22,632.6861788601437,2667.111999998583,19146.586758,21527.217519675058,276.0,18488.019471513424,5242.275333324946,808.82352941225,-0.0,-0.0,-0.0,319.74085758845877,907.387323363,569.7726708515319
23,590.3674796732619,2595.4559999986545,17790.2968037,20784.518853009136,276.0,16012.166355812911,4960.495999992064,808.82352941225,-0.0,-0.0,-0.0,292.25214825742023,829.377567195,520.0889587975289
24,538.0325203238044,2506.839999998743,16821.5182648,19866.03351967672,276.0,14766.458753857733,4612.023333325955,808.82352941225,-0.0,-0.0,-0.0,275.0412513084001,780.53504577,489.05001235652827
25,543.541463413221,2516.1679999987336,16240.2511416,19962.71618634329,276.0,13399.609947445053,4648.704666659229,808.82352941225,-0.0,-0.0,-0.0,244.00260363239693,692.450977953,433.20583295354083
