,PL solar PV ground 2023,PL solar PV roof 2023,PL wind onshore 2023,PL wind onshore old 2023
442,0.5255446287286123,0.38150281362689986,0.6300740859354554,0.5852167115230932
443,0.5025201789217678,0.38793160172769203,0.6105840733202424,0.5651096453922575
444,0.5075231606055293,0.38793160172769203,0.589003123195453,0.5430216705714986
445,0.5025201789217678,0.36868841957650383,0.557347211069526,0.5109494331820191
446,0.4655384060842404,0.33690433033244466,0.5153214044789706,0.46895485098622997
447,0.39278256709278203,0.2813738181052655,0.46969236883418064,0.42408690996387227
448,0.29059708531337614,0.21035180935407102,0.41619067104090446,0.37240217457081504
449,0.13491574631707798,0.0970229792272409,0.3237568530064194,0.28533300493239394
450,0.017541702242011077,0.011720789248683737,0.21035358195679008,0.18209717742858905
451,0.0,0.0,0.15627290944117922,0.13416380763262256
452,0.0,0.0,0.12727750160884632,0.10879265990710942
453,0.0,0.0,0.11719224230959338,0.1000204979234812
454,0.0,0.0,0.11719224230959338,0.1000204979234812
455,0.0,0.0,0.10820667632742682,0.09222740644620467
456,0.0,0.0,0.09807441216680497,0.0834651126059607
457,0.0,0.0,0.10032817697393388,0.08541183753121957
458,0.0,0.0,0.10933094734980411,0.09320131713902212
459,0.0,0.0,0.12279823635567305,0.10489327627102732
460,0.0,0.0,0.10708209808373338,0.09125356025105641
461,0.007794237892769854,0.004129327214358794,0.08565673940349212,0.07276273710038324
462,0.06831210771412771,0.04657041809134517,0.049321232190170865,0.04167292820782516
463,0.2135799519919145,0.1508139649768482,0.04475717385374388,0.037791345928436235
464,0.30742474399196,0.22470357246237224,0.07773522906574007,0.06595619785908308
465,0.36097671359718464,0.2767330522877719,0.08678715485219216,0.07373535783981712
466,0.3679297067044921,0.2984592308036065,0.0822636497294952,0.06984526186809667
467,0.319312114128829,0.28524730789670644,0.08000005384024991,0.06790060086825153
468,0.2995039789969619,0.28524730789670644,0.08339498684214364,0.07081768911452302
469,0.27279589880105776,0.2613223087258604,0.09243462377595028,0.0785994290020242
470,0.23625733380891742,0.21789524806807115,0.09469146079624056,0.08054550895059127
471,0.17715650592065402,0.16852418076085648,0.09356319589675349,0.07957243672747315
472,0.1270675788397518,0.11650671645846461,0.0890470640856438,0.07568079281169242
