,PL battery large electricity,PL biogas,PL biogas substrate,PL biomass wood,PL hard coal,PL hydro PSH electricity,PL lignite,PL natural gas,PL other fuel,PL electricity
0,538.8888681255937,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349088576728,185.9999999997808,285.9999999996712,211.60000000021915,485.0003204604762
1,538.8887949845035,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349075724072,185.9999999997808,285.9999999996712,211.60000000021915,485.00002117056886
2,538.888762060047,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349063424263,185.9999999997808,285.9999999996712,211.60000000021915,484.99999574065055
3,538.8887660532151,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349051768252,185.9999999997808,285.9999999996712,211.60000000021915,484.9999954276119
4,538.8888022247605,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349040736401,185.9999999997808,285.9999999996712,211.60000000021915,484.9999851787809
5,538.8888948314692,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349030368852,185.9999999997808,285.9999999996712,211.60000000021915,484.99996859106886
6,538.88937594574,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349020753084,185.9999999997808,285.9999999996712,211.60000000021915,583.6362149378497
7,538.8894501046057,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349010504541,185.9999999997808,285.9999999996712,211.60000000021915,583.6363489487006
8,538.8893995960649,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348999756352,185.9999999997808,285.9999999996712,211.60000000021915,583.6362025886756
9,538.8891006626795,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348988414561,185.9999999997808,285.9999999996712,211.60000000021915,484.9998906005929
10,538.8889862947038,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348977319923,185.9999999997808,285.9999999996712,211.60000000021915,412.67446369670336
11,538.8890016766192,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348982736757,185.9999999997808,285.9999999996712,211.60000000021915,412.6744832215789
12,538.8891637997398,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349004332422,185.9999999997808,285.9999999996712,211.60000000021915,484.99959426738553
13,575.0997221652386,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349028820925,185.9999999997808,285.9999999996712,211.60000000021915,583.6361434980219
14,579.2219494340384,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349053595862,185.9999999997808,285.9999999996712,211.60000000021915,583.6363373951422
15,582.0764527907697,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349078202048,185.9999999997808,285.9999999996712,211.60000000021915,583.6363608908995
16,584.4415246966364,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349102380667,185.9999999997808,285.9999999996712,211.60000000021915,583.6363909860806
17,586.5347858219062,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349125275502,185.9999999997808,285.9999999996712,211.60000000021915,599.5348771666783
18,586.5350425104377,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349142357403,185.9999999997808,285.9999999996712,211.60000000021915,599.5348933486961
19,586.5351212190358,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349133668576,185.9999999997808,285.9999999996712,211.60000000021915,599.534895825022
20,586.5351543316792,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349086337562,185.9999999997808,285.9999999996712,211.60000000021915,599.5348872408086
21,586.5351629841559,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.534900866899,185.9999999997808,285.9999999996712,211.60000000021915,599.5348722703792
22,586.5351566074219,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348944757791,185.9999999997808,285.9999999996712,211.60000000021915,583.6376631126662
23,586.5351483026636,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348880129717,185.9999999997808,285.9999999996712,211.60000000021915,583.6363918459111
24,586.5351391030359,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348815044438,185.9999999997808,285.9999999996712,211.60000000021915,583.6363767585967
25,586.5351291487697,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348749672644,185.9999999997808,285.9999999996712,211.60000000021915,583.636366745394
26,586.5351185452105,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348684056614,185.9999999997808,285.9999999996712,211.60000000021915,583.6363633388395
27,586.5351073220468,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348618252808,185.9999999997808,285.9999999996712,211.60000000021915,583.6363613505598
28,586.535095750288,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.534855223562,185.9999999997808,285.9999999996712,211.60000000021915,583.6363611240004
29,586.5350833814136,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348486045042,185.9999999997808,285.9999999996712,211.60000000021915,583.6363616128593
30,586.5350700756244,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348419492673,185.9999999997808,285.9999999996712,211.60000000021915,583.6363939912138
31,586.5350556481318,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.534835228865,185.9999999997808,285.9999999996712,211.60000000021915,599.5348317659868
32,586.5350324742998,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348224324986,185.9999999997808,285.9999999996712,211.60000000021915,599.5339842346959
33,586.5349986933121,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348091440399,185.9999999997808,285.9999999996712,211.60000000021915,583.6364085911316
34,586.5349635333357,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.534795773565,185.9999999997808,285.9999999996712,211.60000000021915,583.636375367904
