,PL biogas substrate supply 2023,PL biomass wood supply 2023,PL electricity final use 2023,PL hard coal supply 2023,PL hydro ROR 2023,PL lignite supply 2023,PL natural gas supply 2023,PL other fuel supply 2023,PL solar PV ground 2023,PL solar PV roof 2023,PL wind onshore 2023,PL wind onshore old 2023
0,602.6085636840701,2949.9999999983,16821.5182648,20396.689519676187,276.0,8150.389378314609,5092.215333325186,808.82352941225,-0.0,-0.0,1212.3057737878967,2262.0413646410407
1,605.0671002694296,2949.9999999983,16240.2511416,20438.194704861333,276.0,6950.124949394977,5108.888666658493,808.82352941225,-0.0,-0.0,1174.0865945678954,2186.19242823104
2,605.0671002694296,2949.9999999983,16028.8812785,20438.194704861333,276.0,6686.744100239704,5108.888666658493,808.82352941225,-0.0,-0.0,1138.9338132778953,2116.7162906410394
3,615.1471002694034,2949.9999999983,16011.2671233,20608.36596412042,276.0,6749.527397589021,5177.24933332505,808.82352941225,-0.0,-0.0,1097.2434413078952,2034.6723212910395
4,644.6495392937169,2949.9999999983,16240.2511416,21106.428186342146,276.0,6557.883125563772,5377.32933332473,808.82352941225,-0.0,-0.0,1119.7117806678953,2078.8412018510394
5,662.0596205944846,2949.9999999983,16786.2899543,22447.045667822287,276.0,6264.968312262178,5915.8779999905355,808.82352941225,-0.0,-0.0,1138.9338132778948,2116.716290641039
6,662.0596205944846,2949.9999999983,18389.1780822,23032.268778932812,276.0,9020.00237724524,6150.971999990159,808.82352941225,24.860971531220844,22.0191617772,1126.1228731065391,2091.464585611855
7,662.0596205944846,2949.9999999983,20379.5776256,22696.076778933148,276.0,12853.438235779311,6015.9179999903745,808.82352941225,641.8568067483199,791.110662205,954.9625377255419,1757.5010554218584
8,662.0596205944846,2949.9999999983,21154.6004566,22613.066408562863,276.0,9151.989131358117,5982.571333323762,808.82352941225,1753.051603631318,2116.17136977,817.45668063354,1493.6716435318563
9,662.0596205944846,2949.9999999983,21365.9703196,22405.54048263714,276.0,6055.148462999704,5899.204666657229,808.82352941225,2499.6063572493936,3060.13762799,847.061369514894,1550.1454103410383
10,662.0596205944846,2949.9999999983,21295.5136986,22152.35885300777,276.0,5561.17424241975,5797.497333324058,808.82352941225,2976.5059318725866,3628.51004529,781.170098795747,1424.6934147731706
11,662.0596205944846,2949.9999999983,21506.8835616,21903.327741896905,276.0,5561.17424241975,5697.457333324218,808.82352941225,3237.9977637425877,3882.79022672,671.6300739727474,1218.0574748131712
12,662.0596205944846,2949.9999999983,21471.6552511,21778.812186341474,276.0,5644.109148343598,5647.4373333242975,808.82352941225,3199.69592861939,3823.26500386,540.8580980258913,974.4291032580354
13,662.0596205944846,2949.9999999983,21577.3401826,21650.14611226753,276.0,9400.068266885144,5595.749999991047,808.82352941225,2753.7212111713184,3184.55999267,422.28518504754084,756.3211431938571
14,662.0596205944846,2949.9999999983,21295.5136986,21650.14611226753,276.0,12186.720097368843,5595.749999991047,808.82352941225,2341.053379041319,2665.61449525,326.60039849154225,582.1977137338584
15,662.0596205944846,2949.9999999983,20837.5456621,21650.14611226753,276.0,15339.252390316698,5595.749999991047,808.82352941225,1765.66669691132,1964.63389653,247.45261579254262,439.4090957128588
16,662.0596205944846,2949.9999999983,20590.9474886,21778.812186341474,276.0,19557.1061135112,5647.4373333242975,808.82352941225,954.7032337293203,1058.24784998,254.3547092055429,451.81685588285904
17,662.0596205944846,2949.9999999983,21207.4429224,23866.669084363915,276.0,22244.696969679,5680.783999990911,808.82352941225,49.72723712442315,58.765759901,354.01387095552593,631.9143454160935
18,662.0596205944846,2949.9999999983,22528.5045662,26138.794460056914,276.0,22244.696969679,5664.110666657604,808.82352941225,-0.0,-0.0,405.252494976526,725.2040126960936
19,662.0596205944846,2949.9999999983,22739.8744292,26599.30087215371,276.0,22244.696969679,5630.763999990992,808.82352941225,-0.0,-0.0,405.25249497652607,725.2040126960937
20,662.0596205944846,2949.9999999983,22000.0799087,25552.605380791167,276.0,22244.696969679,5545.729999991127,808.82352941225,-0.0,-0.0,384.78234504352605,687.8770354150936
21,642.1910027083575,2949.9999999983,20714.2465753,23046.378376702167,276.0,22244.696969679,5360.655999991423,808.82352941225,-0.0,-0.0,357.43633839852595,638.1307761020935
22,597.6914905133513,2949.9999999983,19146.586758,20442.41491748459,276.0,22244.696969679,5058.868666658573,808.82352941225,-0.0,-0.0,319.7376601485251,569.7726707870926
23,555.6505149037043,2949.9999999983,17790.2968037,19603.940482639944,276.0,20017.656972191857,4773.754666659029,808.82352941225,-0.0,-0.0,292.2492256835428,520.088958714859
24,543.1119783183711,2949.9999999983,16821.5182648,19392.26403819571,276.0,17539.071555175426,4688.720666659165,808.82352941225,-0.0,-0.0,275.03850084154266,489.0500122738589
25,548.274905147626,2949.9999999983,16240.2511416,19479.424927084514,276.0,15912.92038395026,4723.734666659109,808.82352941225,-0.0,-0.0,244.0001635495427,433.2058328708589
26,553.191978318345,2949.9999999983,15976.0388128,19562.435297454802,276.0,15224.492235344756,4757.081333325722,808.82352941225,-0.0,-0.0,216.34681269954274,383.59454396085886
27,563.0261246597829,2949.9999999983,15958.4246575,19728.456038195378,276.0,14898.003524362966,4823.774666658949,808.82352941225,-0.0,-0.0,219.8067611435427,389.7945148408589
28,590.3158807572727,2949.9999999983,16169.7945205,20189.163593750473,276.0,14861.862260726197,5008.848666658653,808.82352941225,-0.0,-0.0,219.8067611435427,389.7945148408589
29,662.0596205944846,2949.9999999983,16751.0616438,21442.62018634181,276.0,14931.46412503472,5512.383333324514,808.82352941225,-0.0,-0.0,202.4976486745428,358.79877538785894
